X 1: Position X,Unit,Category,Collection,Y 1: Position Y,Unit,Category,Collection,Position_Z
-327,um,Spot,Position,664,um,Spot,Position,492
-315,um,Spot,Position,671,um,Spot,Position,493
-410,um,Spot,Position,325,um,Spot,Position,500
-301,um,Spot,Position,418,um,Spot,Position,502
-194,um,Spot,Position,454,um,Spot,Position,498
-431,um,Spot,Position,551,um,Spot,Position,501
-384,um,Spot,Position,573,um,Spot,Position,499
-290,um,Spot,Position,582,um,Spot,Position,497
-412,um,Spot,Position,596,um,Spot,Position,498
-517,um,Spot,Position,606,um,Spot,Position,501
-540,um,Spot,Position,628,um,Spot,Position,503
-536,um,Spot,Position,662,um,Spot,Position,501
-486,um,Spot,Position,669,um,Spot,Position,499
-459,um,Spot,Position,668,um,Spot,Position,498
-578,um,Spot,Position,574,um,Spot,Position,505
-567,um,Spot,Position,667,um,Spot,Position,504
-211,um,Spot,Position,279,um,Spot,Position,515
-230,um,Spot,Position,285,um,Spot,Position,515
-175,um,Spot,Position,287,um,Spot,Position,515
-330,um,Spot,Position,316,um,Spot,Position,515
-458,um,Spot,Position,321,um,Spot,Position,515
-394,um,Spot,Position,342,um,Spot,Position,515
-302,um,Spot,Position,348,um,Spot,Position,515
-398,um,Spot,Position,389,um,Spot,Position,515
-208,um,Spot,Position,392,um,Spot,Position,515
-471,um,Spot,Position,400,um,Spot,Position,515
-282,um,Spot,Position,399,um,Spot,Position,515
-346,um,Spot,Position,434,um,Spot,Position,515
-458,um,Spot,Position,497,um,Spot,Position,515
-556,um,Spot,Position,506,um,Spot,Position,515
-155,um,Spot,Position,334,um,Spot,Position,453
-109,um,Spot,Position,364,um,Spot,Position,469
187,um,Spot,Position,607,um,Spot,Position,464
-89.7,um,Spot,Position,646,um,Spot,Position,465
216,um,Spot,Position,673,um,Spot,Position,467
239,um,Spot,Position,672,um,Spot,Position,467
144,um,Spot,Position,433,um,Spot,Position,471
-145,um,Spot,Position,519,um,Spot,Position,475
71,um,Spot,Position,542,um,Spot,Position,476
40.8,um,Spot,Position,597,um,Spot,Position,473
210,um,Spot,Position,597,um,Spot,Position,471
-80.4,um,Spot,Position,611,um,Spot,Position,475
229,um,Spot,Position,627,um,Spot,Position,471
77,um,Spot,Position,636,um,Spot,Position,475
157,um,Spot,Position,644,um,Spot,Position,470
60.3,um,Spot,Position,646,um,Spot,Position,470
-31,um,Spot,Position,648,um,Spot,Position,476
-4.17,um,Spot,Position,654,um,Spot,Position,475
121,um,Spot,Position,651,um,Spot,Position,471
228,um,Spot,Position,293,um,Spot,Position,478
224,um,Spot,Position,437,um,Spot,Position,482
212,um,Spot,Position,470,um,Spot,Position,479
-154,um,Spot,Position,475,um,Spot,Position,481
114,um,Spot,Position,493,um,Spot,Position,481
-44,um,Spot,Position,513,um,Spot,Position,481
21.4,um,Spot,Position,512,um,Spot,Position,479
-78,um,Spot,Position,523,um,Spot,Position,482
-161,um,Spot,Position,539,um,Spot,Position,480
7.5,um,Spot,Position,542,um,Spot,Position,476
45.2,um,Spot,Position,548,um,Spot,Position,478
-71,um,Spot,Position,560,um,Spot,Position,478
160,um,Spot,Position,567,um,Spot,Position,479
-6,um,Spot,Position,570,um,Spot,Position,477
244,um,Spot,Position,588,um,Spot,Position,481
-58,um,Spot,Position,600,um,Spot,Position,477
57.7,um,Spot,Position,600,um,Spot,Position,476
-156,um,Spot,Position,619,um,Spot,Position,480
-115,um,Spot,Position,629,um,Spot,Position,477
-146,um,Spot,Position,647,um,Spot,Position,478
105,um,Spot,Position,379,um,Spot,Position,490
231,um,Spot,Position,416,um,Spot,Position,490
19.7,um,Spot,Position,420,um,Spot,Position,488
81.2,um,Spot,Position,422,um,Spot,Position,486
-15.9,um,Spot,Position,428,um,Spot,Position,488
43,um,Spot,Position,456,um,Spot,Position,488
76.9,um,Spot,Position,464,um,Spot,Position,484
-19.7,um,Spot,Position,477,um,Spot,Position,485
67.3,um,Spot,Position,487,um,Spot,Position,483
-159,um,Spot,Position,489,um,Spot,Position,484
117,um,Spot,Position,557,um,Spot,Position,490
186,um,Spot,Position,316,um,Spot,Position,494
244,um,Spot,Position,334,um,Spot,Position,493
214,um,Spot,Position,337,um,Spot,Position,496
0.819,um,Spot,Position,341,um,Spot,Position,497
73.9,um,Spot,Position,347,um,Spot,Position,495
-132,um,Spot,Position,400,um,Spot,Position,496
-53.3,um,Spot,Position,429,um,Spot,Position,493
-76.4,um,Spot,Position,449,um,Spot,Position,493
94.7,um,Spot,Position,262,um,Spot,Position,502
22.8,um,Spot,Position,271,um,Spot,Position,502
73.3,um,Spot,Position,276,um,Spot,Position,499
136,um,Spot,Position,291,um,Spot,Position,498
23.6,um,Spot,Position,306,um,Spot,Position,504
-75.4,um,Spot,Position,309,um,Spot,Position,501
101,um,Spot,Position,314,um,Spot,Position,498
-134,um,Spot,Position,320,um,Spot,Position,502
-55.5,um,Spot,Position,321,um,Spot,Position,498
172,um,Spot,Position,341,um,Spot,Position,498
-38.1,um,Spot,Position,267,um,Spot,Position,504
52.2,um,Spot,Position,284,um,Spot,Position,509
-74.3,um,Spot,Position,262,um,Spot,Position,515
-169,um,Spot,Position,268,um,Spot,Position,515
-109,um,Spot,Position,269,um,Spot,Position,515
525,um,Spot,Position,500,um,Spot,Position,450
667,um,Spot,Position,460,um,Spot,Position,458
548,um,Spot,Position,277,um,Spot,Position,475
649,um,Spot,Position,346,um,Spot,Position,471
498,um,Spot,Position,609,um,Spot,Position,475
390,um,Spot,Position,627,um,Spot,Position,473
421,um,Spot,Position,639,um,Spot,Position,474
643,um,Spot,Position,649,um,Spot,Position,475
261,um,Spot,Position,441,um,Spot,Position,483
283,um,Spot,Position,490,um,Spot,Position,479
483,um,Spot,Position,514,um,Spot,Position,479
306,um,Spot,Position,516,um,Spot,Position,480
598,um,Spot,Position,522,um,Spot,Position,483
544,um,Spot,Position,576,um,Spot,Position,481
586,um,Spot,Position,585,um,Spot,Position,477
446,um,Spot,Position,591,um,Spot,Position,480
417,um,Spot,Position,621,um,Spot,Position,478
610,um,Spot,Position,645,um,Spot,Position,477
532,um,Spot,Position,649,um,Spot,Position,478
646,um,Spot,Position,366,um,Spot,Position,486
368,um,Spot,Position,369,um,Spot,Position,485
301,um,Spot,Position,405,um,Spot,Position,486
594,um,Spot,Position,417,um,Spot,Position,489
503,um,Spot,Position,424,um,Spot,Position,487
614,um,Spot,Position,422,um,Spot,Position,488
553,um,Spot,Position,428,um,Spot,Position,489
417,um,Spot,Position,440,um,Spot,Position,489
586,um,Spot,Position,439,um,Spot,Position,489
639,um,Spot,Position,449,um,Spot,Position,486
664,um,Spot,Position,524,um,Spot,Position,484
660,um,Spot,Position,584,um,Spot,Position,484
366,um,Spot,Position,269,um,Spot,Position,490
533,um,Spot,Position,365,um,Spot,Position,494
620,um,Spot,Position,376,um,Spot,Position,493
267,um,Spot,Position,380,um,Spot,Position,492
570,um,Spot,Position,391,um,Spot,Position,492
602,um,Spot,Position,277,um,Spot,Position,503
609,um,Spot,Position,321,um,Spot,Position,500
993,um,Spot,Position,335,um,Spot,Position,464
1075,um,Spot,Position,564,um,Spot,Position,473
686,um,Spot,Position,621,um,Spot,Position,472
681,um,Spot,Position,641,um,Spot,Position,475
777,um,Spot,Position,651,um,Spot,Position,482
705,um,Spot,Position,673,um,Spot,Position,478
1037,um,Spot,Position,268,um,Spot,Position,486
